date,nation,selections,team
2020-12-27,canada,Dawson Mercer,Cozens Eddie
2020-12-27,canada,Quinton Byfield,Relitz Relish
2020-12-27,canada,Dylan Cozens,Dernic Dynasty
2020-12-27,canada,Dylan Holloway,Yorkton G-Spots
2020-12-27,canada,Connor McMichael,Double Dions
2020-12-27,canada,Jamie Drysdale,Craigs Button
2020-12-27,canada,Alex Newhook,Mikado Magic
2020-12-27,canada,Taylor Gauthier,Campbells Soup
2020-12-27,canada,Jack Quinn,Yorkton G-Spots
2020-12-27,canada,Peyton Krebs,Double Dions
2020-12-27,canada,Cole Perfetti,Craigs Button
2020-12-27,canada,Bowen Byram,Dernic Dynasty
2020-12-27,canada,Connor Zary,Cozens Eddie
2020-12-27,russia,Yaroslav Askarov,Double Dions
2020-12-27,russia,Vasily Podkolzin,Campbells Soup
2020-12-27,russia,Shakir Mukhamadullin,Yorkton G-Spots
2020-12-27,russia,Rodion Amirov,Mikado Magic
2020-12-27,russia,Mikhail Abramov,Cozens Eddie
2020-12-27,russia,Yegor Afanasyev,Craigs Button
2020-12-28,sweden,Lucas Raymond,Campbells Soup
2020-12-28,sweden,Hugo Alnefelt,Mikado Magic
2020-12-28,sweden,Philip Broberg,Relitz Relish
2020-12-28,sweden,Alexander Holtz,Cozens Eddie
2020-12-28,sweden,Arvid Costmar,Yorkton G-Spots
2020-12-28,sweden,Tobias Bjornfot,Double Dions
2020-12-28,sweden,Victor Soderstrom,Dernic Dynasty
2020-12-28,germany,Tim Stutzle,Campbells Soup
2020-12-28,germany,Arno Tiefensee,Dernic Dynasty
2020-12-29,czech_republic,Lukas Parik,Craigs Button
2020-12-29,switzerland,Simon Knak,Relitz Relish
2020-12-29,russia,Yaroslav Askarov,Double Dions
2020-12-29,russia,Vasily Podkolzin,Campbells Soup
2020-12-29,russia,Shakir Mukhamadullin,Yorkton G-Spots
2020-12-29,russia,Rodion Amirov,Mikado Magic
2020-12-29,russia,Mikhail Abramov,Cozens Eddie
2020-12-29,russia,Yegor Afanasyev,Craigs Button
2020-12-30,slovakia,Samuel Hlavaj,Relitz Relish
2020-12-30,germany,Tim Stutzle,Campbells Soup
2020-12-30,germany,Arno Tiefensee,Dernic Dynasty
2020-12-30,sweden,Lucas Raymond,Campbells Soup
2020-12-30,sweden,Hugo Alnefelt,Mikado Magic
2020-12-30,sweden,Philip Broberg,Relitz Relish
2020-12-30,sweden,Alexander Holtz,Cozens Eddie
2020-12-30,sweden,Arvid Costmar,Yorkton G-Spots
2020-12-30,sweden,Tobias Bjornfot,Double Dions
2020-12-30,sweden,Victor Soderstrom,Dernic Dynasty
2020-12-31,austria,Marco Rossi,Craigs Button
2020-12-31,finland,Aku Raty,Relitz Relish
2020-12-31,finland,Anton Lundell,Dernic Dynasty
2020-12-31,finland,Joel Blomqvist,Cozens Eddie
2020-12-31,finland,Ville Heinola,Mikado Magic
2020-12-31,finland,Roni Hirvonen,Double Dions
2020-12-31,finland,Henri Nikkanen,Yorkton G-Spots
2021-01-04,russia,Yaroslav Askarov,Double Dions
2021-01-04,russia,Vasily Podkolzin,Campbells Soup
2021-01-04,russia,Shakir Mukhamadullin,Yorkton G-Spots
2021-01-04,russia,Rodion Amirov,Mikado Magic
2021-01-04,russia,Mikhail Abramov,Cozens Eddie
2021-01-04,russia,Yegor Afanasyev,Craigs Button
2021-01-04,finland,Aku Raty,Relitz Relish
2021-01-04,finland,Anton Lundell,Dernic Dynasty
2021-01-04,finland,Joel Blomqvist,Cozens Eddie
2021-01-04,finland,Ville Heinola,Mikado Magic
2021-01-04,finland,Roni Hirvonen,Double Dions
2021-01-04,finland,Henri Nikkanen,Yorkton G-Spots
2021-01-05,russia,Yaroslav Askarov,Double Dions
2021-01-05,russia,Vasily Podkolzin,Campbells Soup
2021-01-05,russia,Shakir Mukhamadullin,Yorkton G-Spots
2021-01-05,russia,Rodion Amirov,Mikado Magic
2021-01-05,russia,Mikhail Abramov,Cozens Eddie
2021-01-05,russia,Yegor Afanasyev,Craigs Button
